officename,Lx,Ly
office1,6,5.5
office2,6,5.5
office3,6,5.5
office4,6,5.5
office5,6,5.5
office6,6,5.5
office7,9,4
office8,9,4
office9,9,4
office10,7,6
office11,7,6
office12,7,6
office13,7,6
office14,7,6
office15,7,6
office16,9,5
office17,9,5
office18,9,5
office19,9,5
office20,9,5
office21,9,5
office22,8.5,6.5
office23,8.5,6.5
office24,8.5,6.5
office25,8.5,6.5
office26,8.5,6.5
office27,8.5,6.5
office28,9.5,6
office29,9.5,6
office30,9.5,6
office31,9.5,6
office32,9.5,6
office33,9.5,6